,fund_code,fund_name,fund_type,fund_size_in_M,spk_risk_level,1M_return,3M_return,6M_return,YTD_return,1Y_return,3Y_return,5Y_return,real_1y_return,sharpe,max_loss,annual_fee,charter_annual_fee,annual_net_return,annual_max_total_expense_ratio
818,RDT,PHİLLİP PORTFÖY RODOSTO SERBEST FON,Serbest Şemsiye Fonu,5.0,7,3.1094,5.111,,,,,,,,,3.0,3.0,0.0,
819,PIR,PİRAMİT PORTFÖY ALTIN FONU,Kıymetli Madenler Şemsiye Fonu,15.74,6,,,,,,,,,,,1.575,1.575,0.0,
820,PBN,PİRAMİT PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,1020.0,7,52.3653,65.1429,,,,,,,,,2.1,2.1,0.0,
821,PID,PİRAMİT PORTFÖY DEĞİŞKEN FON,Değişken Şemsiye Fonu,7.37,4,2.7549,8.9253,17.8027,22.2349,,,,,,,1.575,1.575,0.0,
822,PHI,PİRAMİT PORTFÖY HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,26.84,6,11.0556,17.8719,18.4428,18.2504,,,,,,,2.3625,2.3625,0.0,
823,PPM,PİRAMİT PORTFÖY MUTLAK GETİRİ HEDEFLİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,217.22,3,3.3146,11.0979,23.0283,27.3526,,,,,6.9908,3.1521,2.1,2.1,0.0,
824,PRD,PİRAMİT PORTFÖY PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,441.69,1,3.9783,12.6368,24.9134,30.9959,,,,,,,0.7875,0.7875,0.0,
825,PKD,PUSULA PORTFÖY İKİNCİ DENGE KATILIM SERBEST FON,Serbest Şemsiye Fonu,1.13,7,-7.5607,,,,,,,,,,4.0,4.0,0.0,
826,ORC,QINVEST PORTFÖY ALFA SERBEST FON,Serbest Şemsiye Fonu,407.71,7,5.1001,19.6391,20.2067,24.9111,,4.4075,,,,,2.1,2.1,0.0,
827,PGD,QİNVEST PORTFÖY AGRESİF DEĞİŞKEN FON,Değişken Şemsiye Fonu,118.91,4,3.6972,10.8751,23.46,,,,,,,,2.1,2.1,0.0,
828,PPK,QNB PORTFÖY PARA PİYASASI KATILIM (TL) FONU,Katılım Şemsiye Fonu,4840.0,3,3.6734,11.8336,23.9198,29.257,,,,,,,1.3,1.3,0.0,
829,PTS,QNB PORTFÖY PARA PİYASASI SERBEST (TL) FON,Serbest Şemsiye Fonu,2610.0,7,3.8185,,,,,,,,,,1.3,1.3,0.0,
830,RBL,QNB PORTFÖY ROBOTİK VE BLOCKCHAİN TEKNOLOJİLERİ SERBEST FON,Serbest Şemsiye Fonu,185.74,7,2.1165,28.8904,23.8895,,,,,,,,2.75,2.75,0.0,
831,RBB,RE-PIE PORTFÖY BİRİNCİ BORÇLANMA ARAÇLARI (TL) FONU,Borçlanma Araçları Şemsiye Fonu,55.72,2,2.3426,13.1156,,,,,,,,,1.5,1.5,0.0,
